freq,star,words
8409,15,foie gras
8379,15,high qualiti
8376,15,bbq sauc
8363,15,mexican restaur
8338,15,all around
8319,15,no problem
8311,15,strip mall
8265,15,tast great
8188,15,5 5
8188,15,crab cake
8177,15,will come
8159,15,green tea
8153,15,3 time
8141,15,chines restaur
8138,15,no complaint
8129,15,go again
8128,15,bloodi mari
8119,15,caesar salad
8091,15,1 star
8091,15,per person
8082,15,good experi
8049,15,gon na
8033,15,realli realli
8012,15,minut wait
7938,15,two peopl
7880,15,corn beef
7860,15,not finish
7825,15,cream chees
7805,15,salad bar
7727,15,noodl soup
7652,15,give us
7628,15,live music
7625,15,no longer
7620,15,somewher els
7614,15,pizza place
7594,15,not understand
7579,15,hash brown
7576,15,just okay
7569,15,huge fan
7560,15,italian food
7532,15,black bean
7470,15,veri much
7461,15,credit card
7411,15,bad experi
7393,15,blue chees
7380,15,not one
7375,15,walk away
7368,15,sour cream
7360,15,excel food
7359,15,ask us
7325,15,last week
7319,15,good qualiti
7266,15,everi singl
7249,15,not all
7212,15,super nice
7177,15,yelp review
7175,15,grill chicken
7171,15,date night
7146,15,2 hour
7109,15,thin crust
7093,15,chicken salad
7089,15,alway good
7086,15,filet mignon
7085,15,hidden gem
7028,15,no flavor
6992,15,walk around
6984,15,best pizza
6944,15,larg portion
6942,15,nice touch
6926,15,no matter
6905,15,great select
6897,15,veri impress
6874,15,food servic
6861,15,mani peopl
6850,15,best place
6848,15,not busi
6837,15,veri happi
6820,15,someth differ
6805,15,food tast
6803,15,veri help
6791,15,will say
6779,15,week ago
6752,15,brought us
6707,15,green bean
6696,15,final got
6696,15,will return
6691,15,least onc
6668,15,right next
6658,15,new favorit
6647,15,bar food
6604,15,miso soup
6600,15,co worker
6599,15,just go
6597,15,side salad
6595,15,fresh made
6564,15,qualiti food
6561,15,star rate
6558,15,bad servic
6552,15,oliv oil
6551,15,not forget
6546,15,usual get
6534,15,tast bud
6529,15,made sure
6529,15,everyon els
6521,15,sport bar
6519,15,comfort food
6515,15,great flavor
6510,15,all veri
6499,15,veri flavor
6481,15,not bother
6470,15,big deal
6424,15,last visit
6422,15,outdoor seat
6361,15,stay away
6360,15,not help
6357,15,one time
6343,15,brussel sprout
6340,15,not return
6313,15,order one
6307,15,sit outsid
6303,15,way better
6289,15,not ask
6288,15,fine dine
6272,15,huge portion
6267,15,may not
6258,15,three time
6255,15,lunch time
6255,15,food court
6249,15,ever eaten
6246,15,good enough
6242,15,seat right
6238,15,sushi roll
6229,15,pork chop
6219,15,veri delici
6211,15,order two
6211,15,get one
6207,15,definit return
6206,15,good size
6196,15,small portion
6182,15,pretti decent
6181,15,high end
6178,15,good select
6172,15,not stop
6153,15,good though
6151,15,seat us
6150,15,old school
6142,15,littl pricey
6128,15,littl place
6107,15,peopl watch
6093,15,great job
6077,15,sushi bar
6069,15,generous portion
6063,15,italian restaur
6053,15,coffe shop
6040,15,star review
6036,15,new place
6018,15,let us
5997,15,2 5
5989,15,serv us
5986,15,one person
5984,15,someon els
5983,15,tell us
5954,15,just say
5951,15,greet us
5947,15,two star
5944,15,sea bass
5926,15,everi day
5924,15,abov averag
5923,15,look good
5905,15,tomato sauc
5903,15,best burger
5902,15,tast fresh
5894,15,said he
5890,15,peanut butter
5888,15,great meal
5880,15,alway great
5860,15,never disappoint
5860,15,great deal
5853,15,few year
5836,15,write home
5829,15,bit pricey
5806,15,one day
5804,15,spici tuna
5797,15,help us
5780,15,everi bite
5775,15,mac chees
5772,15,month ago
5762,15,will get
5755,15,favorit restaur
5750,15,not tell
5743,15,thai restaur
5742,15,anywher els
5736,15,fresh ingredi
5735,15,four star
5724,15,than most
5720,15,order food
5717,15,took forev
5710,15,veri pleasant
5701,15,home made
5700,15,will make
5685,15,soy sauc
5677,15,small plate
5677,15,rib eye
5641,15,onc again
5623,15,potato salad
5606,15,just becaus
5602,15,alway fresh
5574,15,alway friend
5569,15,good flavor
5561,15,nice atmospher
5560,15,made us
5558,15,hous made
5555,15,know whi
5554,15,24 hour
5548,15,fast servic
5536,15,not beat
5534,15,back soon
5530,15,take care
5513,15,blown away
5512,15,food good
5490,15,laid back
5487,15,sushi restaur
5473,15,take home
5455,15,bread pud
5452,15,not fresh
5450,15,alway order
5450,15,husband order
5439,15,chicken breast
5434,15,someth new
5433,15,place becaus
5430,15,long line
5428,15,quick bite
5424,15,just order
5424,15,http www
5423,15,special occas
5422,15,realli love
5399,15,chicken fri
5371,15,definit will
5351,15,first thing
5343,15,whip cream
5317,15,decent price
5309,15,said she
5306,15,not anyth
5296,15,will probabl
5294,15,all good
5290,15,servic great
5288,15,chain restaur
5276,15,not offer
5274,15,call ahead
5258,15,just get
5257,15,lunch menu
5256,15,veri littl
5252,15,sure whi
5237,15,craft beer
5233,15,veri quick
5202,15,stir fri
5202,15,friend got
5200,15,also good
5199,15,tast menu
5189,15,food arriv
5184,15,pretti sure
5173,15,poor servic
5171,15,40 minut
5162,15,next visit
5161,15,chocol cake
5148,15,good valu
5147,15,slow servic
5142,15,still good
5140,15,also love
5126,15,pasta dish
5117,15,20 min
5107,15,creme brule
5106,15,not enjoy
5104,15,three star
5104,15,no way
5092,15,bake potato
5082,15,said no
5080,15,15 min
5080,15,reason whi
5079,15,2 peopl
5071,15,2 3
5071,15,3 4
5064,15,breakfast burrito
5052,15,red pepper
5050,15,great valu
5049,15,want someth
5039,15,realli tasti
5035,15,good portion
5034,15,10 min
5030,15,not miss
5030,15,dure lunch
5027,15,not complain
5026,15,well season
5012,15,great spot
5008,15,30 min
5005,15,groceri store
5004,15,never again
4999,15,never came
4979,15,probabl not
4978,15,few month
4969,15,not serv
4968,15,no wait
4967,15,pretti quick
4946,15,food place
4945,15,not work
4936,15,ever tast
4934,15,food not
4927,15,most place
4921,15,will tri
4906,15,not wast
4892,15,good deal
4868,15,wine select
4861,15,hot chocol
4855,15,main dish
4853,15,sub par
4851,15,tri one
4842,15,onion soup
4841,15,food come
4828,15,place look
4818,15,also realli
4816,15,veri long
4805,15,just got
4802,15,order someth
4796,15,oh well
4795,15,order 2
4780,15,multipl time
4779,15,fri egg
4755,15,bottom line
4752,15,pretti tasti
4749,15,price point
4747,15,breakfast place
4746,15,great locat
4743,15,becaus he
4743,15,seat area
4734,15,not leav
4728,15,time befor
4727,15,favorit dish
4725,15,great custom
4723,15,good review
4713,15,few week
4712,15,garlic bread
4709,15,much food
4681,15,realli friend
4668,15,get better
4654,15,visit again
4652,15,not exact
4649,15,best sushi
4637,15,great beer
4636,15,never come
4634,15,first bite
4628,15,pretti cool
4625,15,daili special
4616,15,burger joint
4616,15,made fresh
4612,15,good pizza
4601,15,absolut amaz
4594,15,anoth tri
4577,15,get seat
4562,15,will give
4561,15,old fashion
4557,15,red velvet
4557,15,la cart
4555,15,whi not
4554,15,c est
4554,15,sunday brunch
4554,15,lunch buffet
4552,15,great littl
4552,15,also great
4548,15,korean bbq
4542,15,pipe hot
4536,15,smoke salmon
4533,15,milk tea
4531,15,roast beef
4528,15,larg parti
4522,15,damn good
4519,15,well prepar
4517,15,differ type
4517,15,just wish
4508,15,got home
4500,15,cole slaw
4490,15,sound like
4469,15,place get
4467,15,also like
4462,15,becaus she
4461,15,great tast
4461,15,never seen
4449,15,wan na
4449,15,veri larg
4442,15,onli place
4429,15,even get
4426,15,chocol chip
4404,15,back home
4390,15,realli cool
4384,15,25 minut
4380,15,not use
4366,15,sushi chef
4364,15,go somewher
4363,15,time sinc
4351,15,greek salad
4350,15,not cheap
4349,15,not cook
4338,15,das essen
4324,15,orang chicken
4320,15,better food
4320,15,onli downsid
4316,15,all time
4301,15,just enough
4299,15,everyth tast
4297,15,good meal
4296,15,most recent
4271,15,just one
4262,15,red sauc
4255,15,great thing
4254,15,pork sandwich
4253,15,better servic
4252,15,asian food
4244,15,tabl next
4243,15,veri pleas
4235,15,vegetarian option
4230,15,fun place
4223,15,worth everi
4221,15,veri cool
4220,15,new restaur
4218,15,got seat
4206,15,white rice
4200,15,ever seen
4198,15,cash onli
4198,15,quick servic
4198,15,taco bell
4194,15,indian restaur
4181,15,good amount
4180,15,make reserv
4179,15,tast better
4173,15,not live
4172,15,food took
4167,15,good beer
4167,15,someth like
4167,15,horribl servic
4166,15,onli two
4161,15,food order
4160,15,hot pot
4159,15,like most
4157,15,most peopl
4156,15,ten minut
4154,15,dure happi
4152,15,chees curd
4149,15,veri generous
4149,15,awesom food
4140,15,not alway
4139,15,veri slow
4130,15,get ani
4127,15,sunday night
4125,15,amaz servic
4125,15,most like
4121,15,place just
4119,15,smell like
4117,15,look great
4111,15,good job
4110,15,onli 2
4109,15,high expect
4096,15,most import
4092,15,few day
4091,15,onli becaus
4088,15,better place
4087,15,than enough
4086,15,total worth
4079,15,us feel
4075,15,scrambl egg
4074,15,authent mexican
4070,15,never got
4068,15,last year
4059,15,butter chicken
4053,15,place will
4052,15,littl slow
4050,15,second visit
4044,15,place great
4040,15,place again
4035,15,tast veri
4034,15,bbq pork
4028,15,great pizza
4025,15,either way
4022,15,not speak
4020,15,restaur week
4020,15,not mani
4018,15,not love
4008,15,chicken finger
4005,15,jerk chicken
4002,15,nice decor
4000,15,korean food
3990,15,extrem friend
3988,15,she ask
3987,15,first impress
3978,15,good stuff
3976,15,outdoor patio
3973,15,get back
3973,15,new locat
3961,15,small place
3956,15,coupl time
3956,15,anoth one
3954,15,veri sweet
3954,15,great restaur
3950,15,terribl servic
3946,15,breakfast sandwich
3945,15,bbq chicken
3938,15,not pay
3931,15,longer than
3926,15,he got
3919,15,steak hous
3917,15,cute littl
3914,15,fair price
3910,15,veri tender
3896,15,thin slice
3894,15,hard time
3893,15,time around
3891,15,servic food
3891,15,chees fri
3888,15,she came
3887,15,good burger
3884,15,ani time
3882,15,good choic
3881,15,most part
3879,15,sunday morn
3877,15,10 15
3877,15,made reserv
3870,15,yum yum
3867,15,mouth water
3866,15,brown rice
3861,15,mani place
3860,15,differ than
3860,15,not usual
3859,15,will continu
3855,15,www yelp
3855,15,old town
3854,15,big portion
3852,15,veri bland
3852,15,bad review
3848,15,nice littl
3845,15,great staff
3843,15,smoke meat
3840,15,french onion
3839,15,all night
3835,15,first experi
3831,15,rice noodl
3830,15,1 5
3827,15,home fri
3826,15,not regret
3820,15,green onion
3817,15,come again
3816,15,she took
3816,15,never tri
3815,15,wide varieti
3813,15,manag came
3813,15,realli well
3812,15,open 24
3799,15,new year
3784,15,eat sushi
3784,15,ahi tuna
3784,15,entr e
3784,15,noth like
3778,15,cream sauc
3775,15,understand whi
3766,15,best food
3763,15,lobster bisqu
3758,15,veggi burger
3756,15,veri accommod
3745,15,bring us
3744,15,whole thing
3743,15,good way
3738,15,quick lunch
3736,15,drink menu
3736,15,look around
3735,15,quit tasti
3730,15,realli bad
3727,15,keep come
3723,15,seat immedi
3720,15,few thing
3718,15,decent food
3713,15,she told
3712,15,especi sinc
3708,15,banh mi
3701,15,mani differ
3695,15,order again
3692,15,first place
3692,15,lunch hour
3692,15,bad thing
3687,15,yelp com
3685,15,cook well
3684,15,she brought
3675,15,take away
3672,15,best meal
3665,15,birthday dinner
3665,15,veri knowledg
3661,15,drink special
3655,15,order take
3654,15,not super
3654,15,consist good
3652,15,never return
3643,15,4 peopl
3641,15,red wine
3640,15,one night
3634,15,food poison
3634,15,five minut
3634,15,famili style
3627,15,almost everi
3627,15,buffalo chicken
3625,15,street taco
3622,15,littl disappoint
3622,15,fresh food
3617,15,4 time
3614,15,perfect amount
3610,15,husband got
3610,15,high price
3610,15,bill came
3607,15,fri pickl
3607,15,smaller than
3606,15,go order
3594,15,all three
3583,15,bake good
3577,15,great review
3573,15,server came
3566,15,fri steak
3565,15,thursday night
3564,15,wife order
3561,15,just look
3558,15,he ask
3548,15,get busi
3545,15,good one
3544,15,favorit thing
3543,15,lobster roll
3543,15,chicken taco
3540,15,middl eastern
3537,15,bubbl tea
3536,15,whole time
3530,15,ever sinc
3528,15,seem veri
3521,15,probabl one
3519,15,good sign
3518,15,monday night
3513,15,ayc sushi
3506,15,perfect place
3505,15,chees steak
3500,15,japanes restaur
3500,15,than ani
3499,15,bento box
3491,15,find someth
3490,15,alway come
3487,15,just open
3485,15,he love
3482,15,not terribl
3478,15,tri again
3475,15,style pizza
3471,15,staff member
3471,15,back becaus
3470,15,king crab
3466,15,back next
3462,15,thorough enjoy
3458,15,recent visit
3458,15,he told
3450,15,took us
3448,15,sour soup
3446,15,overal experi
3446,15,super fresh
3442,15,pretti busi
3441,15,hous salad
3438,15,tri everyth
3435,15,mani year
3432,15,lunch today
3431,15,much flavor
3429,15,lack flavor
3426,15,food just
3417,15,onli good
3417,15,he made
3417,15,not put
3416,15,10 year
3412,15,will alway
3410,15,he also
3409,15,hour wait
3408,15,also serv
3406,15,tasti food
3403,15,pretti big
3394,15,great drink
3393,15,orang juic
3390,15,2 year
3389,15,veri welcom
3389,15,usual order
3387,15,everi dish
3386,15,see whi
3380,15,bacon wrap
3378,15,tuck away
3374,15,clam chowder
3373,15,regular menu
3369,15,water glass
3368,15,not amaz
3368,15,hour later
3366,15,bone marrow
3365,15,ever go
3362,15,half price
3362,15,one bite
3361,15,salsa bar
3360,15,taken care
3353,15,food item
3349,15,late lunch
3346,15,nice enough
3345,15,just make
3341,15,ok not
3339,15,definit one
3337,15,deep dish
3333,15,noth els
3332,15,size portion
3330,15,fresh fruit
3326,15,oh yeah
3319,15,green curri
3317,15,mani option
3317,15,ok noth
3314,15,food restaur
3314,15,look veri
3311,15,cool place
3311,15,green chili
3309,15,not ani
3309,15,veri rude
3306,15,say anyth
3303,15,conveni locat
3302,15,truffl fri
3297,15,pita bread
3297,15,poach egg
3296,15,open late
3296,15,j ai
3293,15,shop center
3290,15,spici food
3289,15,previous review
3288,15,charg us
3287,15,without ani
3286,15,gift card
3285,15,california roll
3284,15,almost like
3283,15,say enough
3283,15,hour menu
3283,15,lettuc wrap
3282,15,not realiz
3281,15,she got
3279,15,chees pizza
3273,15,still veri
3271,15,worst servic
3269,15,chicken tender
3269,15,not ever
3262,15,offer us
3262,15,lunch spot
3262,15,not includ
3255,15,dinner menu
3253,15,veri fill
3252,15,veri satisfi
3252,15,get enough
3248,15,expect much
3247,15,thai place
3246,15,com biz
3244,15,onli 3
3243,15,red onion
3236,15,spici chicken
3235,15,big enough
3232,15,just walk
3231,15,act like
3231,15,she just
3226,15,also delici
3226,15,he came
3226,15,also offer
3225,15,not bring
3222,15,tuesday night
3219,15,he took
3218,15,than one
3215,15,east coast
3209,15,not someth
3206,15,price tag
3203,15,order chicken
3199,15,good howev
3198,15,bit slow
3197,15,get us
3197,15,chow mein
3188,15,best thai
3182,15,food truck
3182,15,well cook
3182,15,wait anoth
3181,15,definit tri
3180,15,beef brisket
3179,15,garlic sauc
3177,15,alway seem
3175,15,garlic knot
3173,15,shrimp tempura
3173,15,like ani
3170,15,pretti standard
3167,15,certain not
3166,15,noodl dish
3161,15,also came
3160,15,us order
3155,15,spice level
3153,15,way home
3151,15,not greasi
3150,15,best restaur
3147,15,anoth tabl
3145,15,medium well
3145,15,qualiti ingredi
3140,15,famili friend
3140,15,get food
3139,15,tri all
3134,15,great lunch
3132,15,differ kind
3128,15,dinner time
3127,15,even ask
3127,15,great choic
3124,15,order drink
3123,15,place around
3123,15,big group
3120,15,menu look
3120,15,alway veri
3117,15,just plain
3117,15,alway make
3116,15,veri polit
3115,15,peopl work
3115,15,even know
3114,15,also enjoy
3112,15,half hour
3112,15,oliv garden
3112,15,still not
3108,15,like he
3108,15,stumbl upon
3104,15,realli delici
3101,15,veri high
3096,15,3 peopl
3092,15,like she
3084,15,front door
3084,15,pan fri
3083,15,alway busi
3083,15,usual go
3082,15,side note
3081,15,servic good
3077,15,best servic
3075,15,pay attent
3072,15,bigger than
3071,15,few bite
3071,15,chop salad
3070,15,burger place
3066,15,green chile
3066,15,potato chip
3065,15,onli get
3065,15,all great
3064,15,great burger
3060,15,pizza joint
3058,15,sunday afternoon
3055,15,waitress came
3053,15,sat us
3052,15,lamb chop
3052,15,walk distanc
3050,15,he just
3049,15,pretti darn
3048,15,actual pretti
3047,15,like eat
3047,15,love everyth
3046,15,higher than
3045,15,time tri
3044,15,anyth special
3042,15,will find
3038,15,bean sprout
3036,15,red bean
3034,15,time becaus
3033,15,she gave
3032,15,will take
3032,15,good sushi
3031,15,final came
3030,15,veri fast
3023,15,2 50
3020,15,great view
3016,15,beef hash
3012,15,entir time
3011,15,5 year
3006,15,also not
3004,15,ground beef
3002,15,japanes food
3001,15,real deal
3000,15,realli not
3000,15,15 20
2996,15,not spici
2995,15,two hour
2993,15,pot pie
2993,15,prix fix
2990,15,everi penni
2989,15,ani better
2987,15,sat outsid
2986,15,food option
2984,15,decent size
2979,15,he order
2977,15,mediocr food
2977,15,not particular
2975,15,one side
2974,15,shrimp cocktail
2974,15,kobe beef
2970,15,tater tot
2965,15,get someth
2964,15,not matter
2958,15,draft beer
2957,15,best mexican
2955,15,chicken dish
2953,15,back just
2953,15,full bar
2953,15,tast just
2952,15,night befor
2952,15,not becaus
2947,15,beer list
2947,15,sticki rice
2946,15,corn tortilla
2945,15,open tabl
2944,15,lettuc tomato
2939,15,lot better
2930,15,two differ
2929,15,45 min
2928,15,food veri
2927,15,first open
2924,15,anoth chanc
2923,15,br l
2921,15,l e
2921,15,absolut no
2919,15,just went
2917,15,shrimp taco
2917,15,chees sauc
2915,15,realli impress
2913,15,chees burger
2913,15,nice select
2912,15,ai not
2910,15,onli order
2907,15,alway go
2907,15,al pastor
2903,15,order anyth
2903,15,almost alway
2902,15,not hot
2897,15,high hope
2889,15,realli disappoint
2887,15,hour befor
2884,15,all delici
2874,15,darn good
2873,15,order anoth
2873,15,home cook
2872,15,korean restaur
2871,15,no thank
2871,15,never heard
2868,15,make us
2865,15,fresh bake
2865,15,noth realli
2864,15,just tri
2861,15,good drink
2861,15,new one
2860,15,he brought
2860,15,biz photo
2860,15,she made
2858,15,good varieti
2856,15,wednesday night
2853,15,upon arriv
2853,15,well made
2848,15,feel welcom
2843,15,good restaur
2842,15,will keep
2842,15,just seem
2842,15,great way
2840,15,ice coffe
2834,15,spici sauc
2833,15,veri dri
2831,15,noth spectacular
2828,15,good atmospher
2826,15,peopl wait
2825,15,definit get
2821,15,well price
2821,15,favorit part
2819,15,two time
2818,15,realli care
2816,15,fresh squeez
2815,15,thing like
2815,15,5 min
2815,15,anoth shot
2810,15,good also
2809,15,veri close
2809,15,said yes
2804,15,veri authent
2804,15,overal great
2803,15,than 10
2802,15,tuna roll
2800,15,danc floor
2800,15,look amaz
2797,15,serv size
2794,15,saut ed
2794,15,tomato soup
2793,15,not happi
2793,15,mapl syrup
2792,15,alway enjoy
2790,15,3 year
2790,15,best breakfast
2790,15,attent servic
2788,15,good although
2786,15,3 differ
2785,15,chicken tikka
2784,15,bad day
2783,15,just love
2781,15,good luck
2778,15,tikka masala
2777,15,onli 1
2777,15,also get
2776,15,not open
2774,15,run around
2771,15,tom yum
2770,15,person favorit
2769,15,bad meal
2766,15,white chocol
2764,15,fall apart
2764,15,just think
2762,15,not allow
2760,15,front desk
2758,15,beet salad
2757,15,beef sandwich
2757,15,anoth 10
2756,15,much like
2755,15,last few
2754,15,awesom servic
2754,15,not chang
2749,15,curri chicken
2746,15,take reserv
2743,15,whole experi
2742,15,lo mein
2742,15,white wine
2739,15,high school
2738,15,lobster tail
2733,15,littl dri
2731,15,b c
2726,15,greek food
2726,15,he gave
2724,15,tri new
2724,15,veri comfort
2723,15,al dent
2722,15,good tast
2720,15,pretti small
2720,15,recommend go
2718,15,entir meal
2714,15,5 10
2711,15,most amaz
2710,15,super busi
2710,15,empti tabl
2709,15,just perfect
2705,15,not mean
2702,15,not comment
2702,15,took care
2701,15,never order
2700,15,de la
2697,15,she also
2695,15,negat review
2692,15,onli negat
2690,15,cook just
2688,15,red curri
2687,15,peanut sauc
2686,15,order she
2685,15,look realli
2684,15,onli problem
2684,15,good just
2684,15,head back
2683,15,food drink
2681,15,anytim soon
2679,15,wait until
2679,15,realli busi
2677,15,order came
2676,15,third time
2676,15,30 pm
2676,15,than expect
2676,15,go elsewher
2675,15,look pretti
2671,15,san francisco
2670,15,great breakfast
2668,15,better option
2667,15,bit dri
2666,15,food all
2666,15,veri uniqu
2666,15,breakfast food
2665,15,caramel onion
2665,15,hour special
2664,15,no reason
2661,15,veri limit
2658,15,perfect season
2654,15,soooo good
2652,15,bell pepper
2649,15,steak sandwich
2648,15,great qualiti
2648,15,take advantag
2647,15,boyfriend order
2646,15,just ask
2644,15,worth tri
2643,15,never ever
2642,15,no apolog
2640,15,breakfast lunch
2636,15,sweet tea
2633,15,not necessarili
2633,15,food befor
2632,15,cheesecak factori
2630,15,1 50
2630,15,five guy
2629,15,make sens
2629,15,good friend
2627,15,surpris good
2626,15,few peopl
2625,15,music play
2625,15,not drink
2623,15,tortilla chip
2622,15,love come
2622,15,corn bread
2620,15,around 10
2616,15,just fine
2613,15,like all
2612,15,few tabl
2611,15,awesom place
2609,15,san diego
2608,15,tast amaz
2608,15,open kitchen
2604,15,chees sandwich
2601,15,5 time
2601,15,wors than
2601,15,chicken strip
2600,15,wick spoon
2599,15,vanilla ice
2598,15,small piec
2598,15,place not
2597,15,super tasti
2595,15,saturday morn
2595,15,two year
2594,15,just averag
2594,15,food joint
2593,15,save room
2590,15,like someth
2589,15,good overal
2589,15,she love
2585,15,put togeth
2583,15,saturday afternoon
2583,15,pretti nice
2583,15,than 5
2582,15,mix drink
2582,15,just tast
2577,15,great happi
2577,15,he want
2577,15,flat bread
2576,15,bit disappoint
2574,15,jalap os
2572,15,all kind
2571,15,famili run
2569,15,even finish
2564,15,time eat
2563,15,fun atmospher
2562,15,beef noodl
2562,15,order 3
2561,15,veri loud
2560,15,bbq place
2557,15,veri kind
2555,15,pizza hut
2555,15,full price
2551,15,day befor
2550,15,order right
2549,15,favorit spot
2547,15,best steak
2546,15,egg white
2546,15,chili chees
2546,15,po boy
2545,15,no tast
2545,15,marinara sauc
2544,15,salad dress
2542,15,kung pao
2541,15,quit nice
2541,15,place seem
2539,15,no doubt
2536,15,servic veri
2534,15,most delici
2534,15,menu option
2533,15,befor go
2529,15,enough food
2524,15,never eat
2523,15,way back
2521,15,not abl
2521,15,small side
2520,15,great ambianc
2520,15,chicken curri
2519,15,never get
2519,15,right across
2516,15,recommend tri
2516,15,food will
2515,15,bad either
2514,15,than just
2513,15,chicken parm
2513,15,bad food
2513,15,littl gem
2512,15,fri shrimp
2509,15,ice cold
2508,15,turkey burger
2508,15,next trip
2506,15,around us
2504,15,breakfast spot
2504,15,order deliveri
2503,15,one point
2502,15,crust pizza
2498,15,visit vega
2494,15,just move
2494,15,lunch rush
2490,15,time manner
2489,15,turn around
2489,15,soft shell
2488,15,us she
2487,15,pretti bad
2485,15,get pretti
2485,15,no big
2484,15,west side
2482,15,veri yummi
2477,15,came around
2475,15,not hear
2474,15,also pretti
