freq,star,words
1015,15,not even like
1013,15,fish n chip
1011,15,pretti good food
1007,15,fri ice cream
1004,15,go back becaus
1000,15,1 2 price
998,15,veri friend servic
997,15,20 minut befor
993,15,old town scottsdal
992,15,mon ami gabi
990,15,place great food
989,15,hot n juici
989,15,will never eat
984,15,not blown away
983,15,ny style pizza
981,15,come back soon
976,15,probabl go back
976,15,tast veri fresh
973,15,perfect medium rare
970,15,look like much
970,15,wait 45 minut
969,15,ever come back
967,15,got ta love
965,15,4 5 5
959,15,two star becaus
952,15,not even busi
952,15,not pay attent
952,15,not tast fresh
951,15,late night snack
948,15,place look like
944,15,3 1 2
941,15,go anywher els
939,15,servic good food
933,15,buffalo wild wing
933,15,food tast like
928,15,us feel like
927,15,duck fat fri
926,15,not say much
925,15,come back just
924,15,just not good
922,15,best indian food
920,15,ice cream sandwich
919,15,chocol cover strawberri
919,15,pork fri rice
913,15,place 4 star
913,15,tri new thing
911,15,will most like
909,15,roast beef sandwich
909,15,also pretti good
908,15,make eye contact
908,15,actual realli good
906,15,last few time
906,15,2 year old
902,15,good chines food
900,15,not quit sure
899,15,not realli sure
897,15,fast food chain
896,15,black bean sauc
896,15,pay full price
889,15,ayc sushi place
889,15,veri generous portion
887,15,good qualiti food
887,15,within 5 minut
886,15,not veri impress
884,15,went last night
883,15,rib eye steak
882,15,us right away
881,15,than 5 minut
879,15,dure lunch hour
877,15,no one ever
877,15,not realli go
876,15,go back next
875,15,smoke meat sandwich
875,15,not even come
872,15,good servic good
872,15,pretti good not
870,15,not realli tast
869,15,not even think
868,15,4 star rate
867,15,not even tast
867,15,order someth differ
866,15,not take long
863,15,no idea whi
861,15,tri anyth els
861,15,gluten free pizza
859,15,bacon wrap date
853,15,got seat right
851,15,not get much
850,15,tabl around us
849,15,fast food burger
848,15,bloodi mari bar
844,15,bad custom servic
841,15,shrimp fri rice
841,15,custom servic skill
840,15,red velvet cake
838,15,ani better than
838,15,time last night
836,15,even gave us
834,15,less than half
832,15,not much els
828,15,cook medium rare
827,15,pretti good though
825,15,veri small portion
823,15,banana cream pie
823,15,not bad just
822,15,back again soon
822,15,main dine room
821,15,veri nice place
821,15,not expect anyth
821,15,sweet potato tot
821,15,pineappl fri rice
820,15,onli bad thing
820,15,not even ask
820,15,outdoor seat area
819,15,30 minut later
818,15,authent chines food
818,15,veri good not
817,15,not order ani
816,15,high qualiti food
816,15,lot better than
814,15,food great price
813,15,fine dine restaur
813,15,free wi fi
812,15,not give us
809,15,star onli becaus
809,15,pretti much all
808,15,veri pleasant surpris
807,15,than most place
807,15,chicken salad sandwich
804,15,food tast great
804,15,good portion size
803,15,food tast good
803,15,still pretti good
802,15,never go wrong
800,15,definit worth check
800,15,5 minut befor
797,15,took great care
797,15,das essen war
796,15,took one bite
796,14,also veri tasti
795,15,well taken care
795,15,within 10 minut
794,15,will most definit
792,15,countri fri steak
790,15,first time ever
790,15,black bean burger
789,15,will go again
787,15,first come first
786,15,snow crab leg
784,15,1 1 2
783,15,great atmospher great
782,15,5 star restaur
781,15,cute littl place
781,15,not even rememb
781,15,just not worth
781,15,probabl come back
779,15,fresh cut fri
779,15,high qualiti ingredi
778,15,took 20 minut
775,15,definit better than
775,15,5 star servic
773,15,give 4 star
773,15,come first serv
772,15,f r ein
772,15,favorit sushi place
771,15,happi hour deal
771,15,come back becaus
767,15,less than stellar
767,15,got food poison
765,15,york style pizza
764,15,not even tri
763,15,server told us
763,15,order medium rare
760,15,food took forev
760,15,top notch servic
756,15,pretti good deal
756,15,20 30 minut
755,15,alway veri friend
753,15,fast friend servic
753,15,gluten free menu
753,15,last two time
752,15,fresh bake bread
750,15,deserv 5 star
750,15,wood fire pizza
749,15,she said no
748,15,laid back atmospher
748,15,dure peak hour
748,15,food great atmospher
747,15,onli save grace
745,15,man vs food
745,15,hong kong style
745,15,not even look
744,15,alway make sure
744,13,4 star instead
744,15,us feel welcom
743,15,support local busi
743,15,2 1 2
741,15,grill chicken sandwich
740,15,past few year
740,15,new year eve
738,15,great food good
737,15,definit come again
737,15,best dine experi
737,15,taco el gordo
736,15,seem like she
736,15,not 5 star
733,15,solid 4 star
732,15,place anoth tri
732,15,not mani peopl
732,15,not veri attent
732,15,will not come
731,15,3 year old
731,15,new york new
729,14,overal great experi
728,15,sage fri chicken
727,15,realli good servic
726,15,spici salmon roll
725,15,not order anyth
725,15,get much better
723,15,order anyth els
723,15,year old son
723,15,realli long time
723,15,get veri busi
723,15,not veri flavor
721,15,not bad not
721,15,fine dine experi
720,15,shrimp po boy
720,15,will make sure
719,15,three star becaus
719,15,than anyth els
717,15,terribl custom servic
717,15,f r den
717,15,das essen ist
717,15,2 year ago
717,15,answer ani question
717,15,just seem like
716,15,fresh squeez orang
714,15,not eat meat
714,15,also realli like
713,15,onli one person
713,15,30 minut befor
711,15,tast like someth
711,15,happi hour drink
709,15,food came quick
708,15,best custom servic
707,15,coupl week ago
707,15,not tast ani
705,15,second time around
704,15,10 minut wait
702,15,tri next time
702,15,coconut ice cream
701,15,revers happi hour
701,15,new york citi
700,15,place 3 star
699,15,veri good price
699,15,look pretti good
698,15,get pretti busi
697,15,high recommend tri
697,15,veri good though
697,15,also veri friend
696,15,squeez orang juic
695,15,bbq chicken pizza
695,15,like spici food
695,15,veri good experi
695,15,far better than
694,15,okay noth special
694,15,dure restaur week
694,15,great food servic
692,15,york new york
692,15,also veri nice
692,15,anoth 30 minut
691,15,not great either
691,15,will never ever
690,15,all day long
689,15,realli go wrong
689,15,much much better
687,15,2 3 time
687,15,great lunch special
686,15,better than expect
685,15,not make sens
685,15,blue chees dress
685,15,banana nut muffin
684,15,food excel servic
683,15,treat us like
683,15,less than 20
682,15,just ok noth
680,15,get 4 star
678,15,best kept secret
678,15,minut later she
677,15,veri laid back
677,15,not mind blow
676,15,not much flavor
675,15,sauc tast like
673,15,all veri friend
673,15,spinach artichok dip
672,15,veri much enjoy
671,15,corn beef sandwich
670,15,will come again
670,15,took 15 minut
670,15,not find anyth
669,15,anoth 5 minut
669,15,not even offer
667,15,great mexican food
667,15,definit visit again
667,15,first time go
666,15,will keep come
666,15,alway come back
666,15,best italian food
665,15,waitress told us
665,15,good thai food
665,15,around lunch time
664,15,amaz custom servic
663,15,back veri soon
661,15,will not disappoint
661,15,four star becaus
660,15,last few year
660,15,high top tabl
659,15,year old daughter
659,15,le servic est
655,15,seem like he
655,15,than enough food
655,15,will not regret
654,15,mani mani time
654,15,favorit pizza place
654,15,will visit again
652,15,five star review
651,15,not find ani
651,13,definit will come
649,15,all day breakfast
648,15,not even sure
648,15,will never order
648,15,goat chees salad
647,15,no extra charg
647,15,stuf french toast
646,15,get realli busi
643,15,not wan na
643,15,few year back
642,15,3 star rate
641,15,everi singl one
640,15,friend staff great
639,15,not mind wait
639,15,worst dine experi
638,15,5 year old
637,15,hard boil egg
637,15,tast even better
637,15,great tast food
636,15,not much better
635,15,much better food
634,15,pretti good servic
634,15,will definit not
633,15,look like she
632,15,good italian food
631,15,serv ice cream
631,15,mani year ago
630,15,n est pas
629,15,us even though
629,15,flat iron steak
628,15,two year ago
628,15,4 year old
627,15,late night menu
623,15,food good price
622,15,best sushi place
621,14,everyth tast fresh
620,15,veri high qualiti
620,15,wait anoth 10
620,15,dim sum restaur
619,15,xiao long bao
618,15,tast exact like
617,15,first time come
614,15,not realli worth
613,15,not realli get
612,15,chicken lettuc wrap
610,15,2 hour wait
608,15,f r mich
608,15,not wait until
607,15,new york steak
607,15,typic bar food
605,15,two week ago
605,15,downtown las vega
604,15,not order again
604,15,favorit mexican restaur
603,15,pretti much everi
603,15,nom nom nom
602,15,look like he
602,15,enjoy everi bite
601,15,order right away
601,14,definit worth tri
601,14,not give 5
600,15,mochi ice cream
599,15,will definit tri
598,15,take credit card
598,15,hot sour soup
596,15,cours tast menu
596,15,took 10 minut
595,15,hard earn money
592,15,5 star experi
591,15,veri veri veri
591,15,best fri chicken
591,15,onli take cash
590,15,food reason price
589,15,servic everi time
589,15,he said no
589,15,even though she
589,15,veri good qualiti
588,15,actual veri good
587,15,3 4 time
586,15,not get sick
586,15,give 3 star
586,15,veri much like
586,15,shrimp tempura roll
586,15,just got back
585,15,4 star review
585,15,staff veri friend
585,15,las vega roll
585,15,authent thai food
585,15,long time ago
585,15,lobster mac n
584,15,minut befor close
582,15,5 star all
582,15,chocol ice cream
581,15,not tri anyth
581,15,even come close
581,15,back sever time
581,15,made eye contact
581,15,becaus no one
580,15,place everi time
580,15,veri good also
580,15,realli good though
579,15,friend wait staff
579,15,not better than
579,15,everyth tast great
578,15,almost everi time
577,15,food 4 5
577,15,famili run busi
577,15,c est un
577,15,not make ani
576,15,veri larg portion
575,15,feel like famili
573,15,4 1 2
573,15,first time tonight
573,15,love spici food
572,15,american chines food
572,15,like most place
572,15,probabl will not
571,15,noth realli special
571,15,not veri tasti
571,15,let just say
570,15,tabl right away
570,15,not speak english
570,15,fresh spring roll
568,15,1 star becaus
568,15,even though he
567,15,she brought us
567,15,hour befor close
566,15,no no no
566,15,al pastor taco
566,15,10 year ago
565,15,nice littl place
565,15,alway top notch
565,15,buffalo chicken sandwich
564,15,ten minut later
564,15,chicken caesar salad
563,15,noth realli stood
562,12,will definit visit
562,15,ok not great
562,15,great wine select
561,15,las vega blvd
561,15,breakfast all day
560,15,also gave us
559,15,us come back
559,15,cook veri well
558,15,not even tell
556,15,mani good thing
556,15,worst experi ever
555,15,mix green salad
555,15,not eat much
555,15,server came back
554,15,not mani place
554,15,authent italian food
554,15,not even give
554,15,accept credit card
554,15,kimchi fri rice
553,15,took 30 minut
552,15,also realli enjoy
550,15,pho kim long
549,15,butternut squash soup
549,15,not tell us
549,15,3 cours meal
548,15,just like ani
548,15,not ever go
548,15,gon na get
547,15,she never came
547,15,mexican food place
547,15,realli realli realli
547,15,hot summer day
547,15,not veri big
546,15,root beer float
545,15,great friend servic
545,15,new favorit restaur
544,15,food friend staff
544,15,minus one star
544,15,sever year ago
543,15,craft beer select
543,15,realli realli want
543,15,tri new place
543,15,littl longer than
542,15,think next time
542,15,10 15 min
542,15,not leav without
541,15,no better than
541,15,great servic food
541,15,soft serv ice
539,15,love thai food
539,15,cant go wrong
539,15,great wine list
538,15,main dine area
538,15,chicago style pizza
538,15,hard time find
537,15,busi saturday night
537,15,2 5 hour
536,15,not even worth
536,15,not realli impress
536,15,dulc de lech
535,15,crab fri rice
534,15,veri nice atmospher
533,15,egg foo young
533,15,good just not
533,15,he brought us
533,15,flourless chocol cake
533,15,real mexican food
532,15,fine dine establish
532,15,back mani time
532,15,definit will not
532,15,happi hour food
532,15,back ani time
531,15,not good either
530,15,veri good place
530,15,alway super friend
530,15,love mexican food
529,15,twice bake potato
528,15,not eat ani
528,15,veri well prepar
528,15,load bake potato
528,15,onli 3 star
528,15,all pretti good
528,15,busi friday night
527,15,go next door
527,15,than 5 star
526,15,tabl side guacamol
526,15,waiter told us
526,15,best happi hour
526,15,chocol lava cake
525,15,chocol chip pancak
523,15,chicken tortilla soup
522,15,greet right away
522,15,f r das
520,15,also quit good
520,15,home cook meal
517,15,auf jeden fall
516,15,waitress came back
516,15,love everi bite
516,15,not leav hungri
516,15,will definit make
515,15,she said yes
515,15,pepper jack chees
514,15,place 2 star
514,15,five minut later
513,15,not realli enjoy
513,15,tres lech cake
513,15,servic 5 star
512,15,not let us
512,15,deep fri chicken
512,15,not fast food
512,15,want anyth els
511,15,night happi hour
510,14,def come back
510,15,2 3 peopl
510,15,get 3 star
510,15,bean ice cream
509,15,not even make
509,14,just right not
509,15,best thai restaur
508,15,not even care
508,15,all around great
508,15,good even though
507,15,shred beef taco
507,15,lobster mash potato
507,15,all realli good
507,15,not realli want
506,15,servic 4 5
505,15,blah blah blah
505,15,just ok not
505,15,5 year ago
505,15,feel like cook
505,15,good old fashion
504,15,few time befor
504,15,great servic good
504,15,steak medium rare
502,15,tabl behind us
502,15,will tri again
502,15,feel veri welcom
501,15,actual quit good
501,15,will definit order
501,15,not feel rush
500,15,like everyon els
500,15,lunch one day
500,15,alway great servic
500,15,worth come back
499,15,hand pull noodl
498,15,not hot enough
498,15,five star rate
497,15,not tast anyth
497,15,new york pizza
497,15,not even go
496,15,mexican food restaur
496,15,new favorit spot
496,15,not offer ani
495,15,eat somewher els
495,15,than 15 minut
495,15,30 45 minut
494,15,few minut befor
494,15,just walk away
494,15,much better place
494,15,f r einen
494,15,not even notic
493,15,veri good although
493,15,pan fri noodl
493,15,locat right next
493,15,long long time
493,15,get 2 star
492,15,short rib taco
492,15,realli great food
492,15,tast like water
492,15,tast much better
491,15,saut ed mushroom
491,15,3 year ago
490,15,adobo fri rice
490,15,go back anytim
490,15,will probabl not
489,15,great littl spot
489,15,give 2 star
489,15,40 minut wait
488,15,better custom servic
488,15,15 20 min
488,15,will no longer
487,15,not even say
486,15,45 minut later
486,15,good no complaint
486,15,je n ai
485,15,pretti good although
485,15,gluten free crust
485,15,good dine experi
484,15,took 45 minut
484,15,slight abov averag
483,15,no one want
483,15,no one seem
483,15,khao san road
483,15,die bedienung war
483,15,angel hair pasta
482,15,pork belli taco
482,15,p f chang
482,15,dan dan noodl
482,15,veri good howev
481,15,chicken fri chicken
481,15,few day later
480,15,veri nice decor
480,15,not get better
480,15,order pad thai
479,15,1 star review
479,7,give zero star
479,15,veri nice peopl
478,15,mango sticki rice
478,15,wait anoth 15
478,15,realli feel like
478,15,less than impress
478,15,3 star review
477,15,beef chow fun
477,15,korean bbq place
477,15,que j ai
477,15,white meat chicken
477,15,lettuc tomato onion
476,15,she walk away
476,15,wonton noodl soup
476,15,mani time befor
476,15,still realli good
475,15,she made sure
475,15,favorit breakfast place
474,15,buffalo chicken wrap
474,15,alway look forward
474,15,make sure everyon
474,15,often than not
473,15,one star review
473,15,pretti good place
473,15,2 week ago
472,15,gluten free bread
472,15,kid eat free
472,15,no less than
472,15,veri slow servic
472,15,came high recommend
471,15,best mexican restaur
471,15,fri chicken wing
470,15,grill chicken salad
470,15,north las vega
470,15,grill chicken breast
469,15,wait 5 minut
469,15,coupl year ago
469,15,he made sure
469,15,place get pack
468,15,fri chicken sandwich
468,15,wait 30 min
468,15,restaur week menu
468,15,shrimp pad thai
467,15,1 2 lb
467,15,steak n shake
467,15,great place great
467,15,not recommend go
466,15,place next door
466,15,veri well season
466,15,she come back
466,15,onli one server
466,15,food 3 5
465,15,5 star food
465,15,much better servic
465,15,els next time
464,15,usual pretti good
464,15,wait 20 min
464,15,got ta go
464,15,butternut squash ravioli
463,15,worth go back
462,15,place anoth shot
462,15,great lunch spot
462,15,italian beef sandwich
462,15,fri onion ring
462,15,veri first time
461,15,taco al pastor
461,15,veri good valu
461,15,not go again
461,15,sever time sinc
460,15,not care much
460,15,wood fire oven
458,15,water just think
458,15,tri almost everyth
458,15,never ever go
457,15,will probabl go
457,15,not eat anyth
457,15,thousand island dress
457,15,place anoth chanc
456,12,onli 4 star
456,15,went back again
455,15,onli eat half
455,15,five star becaus
455,15,sweet potato hash
454,15,bang bang shrimp
454,15,long time sinc
454,14,all veri tasti
454,15,first thing first
453,15,everi singl thing
453,15,late night food
452,15,buffalo chicken pizza
452,15,alaskan king crab
451,15,2 5 5
451,15,eat n park
451,15,late night dinner
450,15,food friend servic
450,15,not like ani
450,15,wait 40 minut
449,15,die preis sind
449,15,atmospher great servic
449,15,actual tast like
449,15,tast like noth
448,14,price veri reason
448,15,10 year old
448,15,serv pipe hot
448,15,mall food court
447,15,die getr nke
447,15,pad kee mao
447,15,servic 5 5
447,15,good indian food
446,15,he realli enjoy
446,15,20 25 minut
446,15,provid great servic
446,15,chicken tast like
446,15,great peopl watch
445,15,better than anyth
445,15,least 10 minut
445,15,absolut no flavor
445,15,not know anyth
444,15,not charg us
444,15,make matter wors
444,15,few time sinc
443,15,not seem veri
443,15,veri nice staff
443,15,awesom custom servic
442,15,noth better than
442,15,fresh squeez juic
442,15,gave us free
441,15,super friend servic
441,15,crinkl cut fri
440,15,bbq pork bun
440,15,first time order
440,15,season just right
440,15,decent beer select
440,15,fr hst ck
440,15,favorit thai restaur
440,15,la cart menu
439,15,5 5 star
439,15,extens wine list
439,15,feel like home
439,13,overal great place
439,15,free ice cream
438,15,less than 15
438,15,onli accept cash
438,15,servic veri friend
438,15,least 3 time
438,15,veri good overal
437,15,within 15 minut
437,15,never again will
437,15,will not recommend
437,15,well put togeth
437,15,make no sens
437,15,food 5 star
436,15,great food friend
436,15,white wine sauc
436,15,def go back
436,15,food everi time
435,15,around 6 30
435,15,food final came
435,15,will return again
435,15,2 star review
435,15,perfect al dent
435,15,much better experi
435,15,she said oh
435,15,great veri friend
434,15,overal good experi
433,15,great price great
433,15,consist good food
433,14,not mind come
433,15,sweet chili sauc
433,15,friend staff good
432,15,not veri spici
431,15,not tast right
431,15,prei leistungsverh ltnis
431,15,delici high recommend
431,15,not even begin
430,15,not realli say
430,15,minut befor anyon
430,15,realli good not
430,15,awesom happi hour
430,15,all veri nice
429,15,gon na go
429,15,10 min later
429,15,place good food
429,15,veri nice touch
429,15,may go back
429,15,not know much
429,15,not stop think
428,15,minut later he
428,15,just felt like
428,15,serv famili style
427,15,veri good veri
426,15,still come back
426,15,tast like cardboard
426,15,las vega area
426,15,not tast veri
426,15,chines food place
426,15,servic 3 5
426,15,all night long
425,15,much better option
425,15,not veri crowd
425,15,wait anoth 20
425,15,longer than expect
425,15,truffl parmesan fri
425,15,given 5 star
424,15,2 star rate
424,15,sear foie gras
424,15,6 30 pm
424,14,get five star
424,15,best fast food
424,15,chocol peanut butter
423,15,late night eat
423,15,30 40 minut
422,15,littl better than
422,15,slight better than
422,15,pretti much just
422,15,veri good pizza
421,15,fresh squeez oj
421,15,provid excel servic
421,15,ice cream cone
421,15,serv all day
420,15,general tso chicken
420,15,least 15 minut
420,13,will definit recommend
420,15,fri chees curd
419,15,hostess told us
419,15,cinco de mayo
419,15,good bar food
419,15,great portion size
418,15,littl higher than
418,15,sub par food
418,15,told us he
418,15,pork belli bun
417,15,6 year old
417,15,veri littl flavor
417,15,good better than
416,15,hard time decid
416,15,not realli complain
416,15,menu look good
415,15,das ambient ist
415,15,not get 5
414,15,sear ahi tuna
414,15,find anywher els
414,15,return next time
414,15,50 per person
414,15,place mani time
414,15,chuck e chees
414,15,wait 25 minut
413,15,most recent trip
413,15,not even apolog
413,15,sehr freundlich und
413,15,not even order
413,15,just stand around
413,15,first time yesterday
412,15,overal veri good
412,15,get food poison
412,15,veri good especi
412,15,find anoth place
412,15,onli negat thing
412,15,great servic veri
411,15,grand lux cafe
411,15,look veri good
411,15,good high recommend
411,15,want someth differ
411,15,less than 30
411,15,fri spring roll
410,15,high recommend go
409,15,menu look great
408,15,au gratin potato
408,15,anyth less than
408,15,veri veri nice
408,15,want good food
408,15,past few month
407,15,not great not
407,15,few block away
406,15,atmospher great food
406,15,friday night around
406,15,soft boil egg
406,15,look like someth
406,15,just feel like
406,15,der servic war
405,15,coupl month ago
405,15,took good care
405,15,not half bad
405,15,not veri fresh
405,15,not stop talk
404,15,not fulli cook
404,15,no apolog no
404,15,took longer than
404,15,flat screen tv
404,15,back everi time
404,15,alway great food
404,15,us sever time
403,15,no custom servic
403,15,not ani better
403,15,go back unless
403,15,definit will go
403,15,not realli see
403,15,still tast good
402,15,not cook all
402,15,server brought us
402,14,never felt rush
402,15,feel like eat
401,15,will not find
400,15,no one even
400,15,gave us great
400,15,bbq pull pork
400,15,not even good
400,15,thing everi time
400,15,done just right
400,15,30 min wait
400,15,befor head back
399,15,general tao chicken
399,15,not know ani
399,15,die k che
398,15,just not veri
398,15,realli good pizza
398,15,told us she
398,15,der servic ist
398,15,first time dine
397,15,seat us right
397,15,great date night
397,15,sever time befor
397,13,food high recommend
396,15,still go back
396,15,food even though
396,15,quick bite befor
396,15,veri well price
395,15,wait 15 min
395,15,best dim sum
395,15,not eat pork
395,15,realli nice place
395,15,than 30 minut
395,15,honey walnut shrimp
394,15,best breakfast place
394,15,server gave us
394,15,first time around
394,15,wow wow wow
394,15,done veri well
393,15,korean fri chicken
393,15,ahi tuna salad
393,15,hand cut fri
393,15,wan na go
392,15,french press coffe
392,15,good food nice
392,10,servic high recommend
392,15,not come close
392,15,tast noth like
392,15,around 7 30
391,15,dure dinner time
391,15,custom servic ever
391,15,get good servic
391,15,bit higher than
390,15,chili chees dog
390,15,drive across town
390,15,food arriv quick
389,15,pretti good overal
389,15,look better than
389,15,not want ani
389,15,around 5 30
389,15,matzo ball soup
389,15,food veri good
388,15,probabl not go
388,15,just okay noth
388,15,long time befor
387,15,less than averag
387,15,everi singl bite
387,15,servic delici food
387,15,famili run restaur
387,15,food final arriv
387,15,amaz food great
386,15,chicken lo mein
386,15,yes yes yes
386,14,staff great food
386,15,1 2 pound
386,15,few month back
386,15,less than 2
386,15,wonder dine experi
385,15,not even acknowledg
385,15,wait 2 hour
385,15,der k che
385,15,final got around
385,15,ayc sushi restaur
385,15,las vega select
384,15,almost 2 hour
384,15,not get anyth
384,15,rock n roll
383,15,favorit lunch spot
383,15,saturday night around
382,15,not worth go
382,15,tri differ thing
382,15,food 4 star
382,15,than 20 minut
382,14,veri well made
382,15,good wine select
381,15,rather than just
381,15,shrimp spring roll
381,15,dream come true
381,14,veri veri tasti
381,15,im not sure
381,15,good next time
381,15,realli good place
381,15,get better than
